StockCode,Description,Sentiment,Confidence
85124A,PINK JUICY FRUIT PHOTO FRAME,Neutral,0.8212
21539,RETRO SPOTS BUTTER DISH,Neutral,0.8074
16169F,WRAP BLIZZARD,Neutral,0.7543
21527,RETRO SPOT TRADITIONAL TEAPOT ,Neutral,0.8025
21531,RETRO SPOT SUGAR JAM BOWL,Neutral,0.8626
20914,SET/5 RED SPOTTY LID GLASS BOWLS,Neutral,0.8108
21242,RED SPOTTY PLATE ,Neutral,0.6882
22232,JIGSAW TOADSTOOLS 3 PIECE,Neutral,0.8314
21535,RETRO SPOT SMALL MILK JUG,Neutral,0.8413
21844,RETRO SPOT MUG,Neutral,0.8298
22073,RETRO SPOT STORAGE JAR,Neutral,0.8606
22072,TEA CUP AND SAUCER RETRO SPOT,Neutral,0.8344
15056BL,EDWARDIAN PARASOL BLACK,Neutral,0.8379
15056N,EDWARDIAN PARASOL NATURAL,Neutral,0.8305
22254,FELT TOADSTOOL LARGE,Neutral,0.7913
22255,FELT TOADSTOOL  SMALL,Neutral,0.7558
46000S,POLYESTER FILLER PAD 40x40cm,Neutral,0.8628
20964,POLYESTER FILLER PAD 60x40cm,Neutral,0.8648
21788,KIDS RAIN MAC BLUE,Neutral,0.7819
21789,KIDS RAIN MAC PINK,Neutral,0.7971
20682,RED SPOTTY CHILDS UMBRELLA,Neutral,0.7269
84832,ZINC WILLIE WINKIE  CANDLE STICK,Neutral,0.8163
85063,CREAM SWEETHEART MAGAZINE RACK,Neutral,0.5871
48129,DOOR MAT TOPIARY,Neutral,0.6915
22030,SWALLOWS GREETING CARD,Neutral,0.8367
21081,SET/20 POSIES PAPER NAPKINS,Neutral,0.7686
20773,BLUE PAISLEY NOTEBOOK,Neutral,0.8408
20767,BLUE PAISLEY JOURNAL ,Neutral,0.8318
22028,PENNY FARTHING BIRTHDAY CARD,Neutral,0.8469
20622,VIPPASSPORT COVER ,Neutral,0.7698
21122,SET/10 PINK SPOTTY PARTY CANDLES,Neutral,0.7251
21124,SET/10 BLUE SPOTTY PARTY CANDLES,Neutral,0.7911
20657,TROPICAL LUGGAGE TAG,Neutral,0.7497
16156N,"WRAP, FRIENDSHIP ON GREEN",Neutral,0.8076
20673,STRAWBERRIES PRINT BOWL,Neutral,0.81
84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,Neutral,0.8886
20619,TROPICAL PASSPORT COVER ,Neutral,0.8049
21866,UNION JACK FLAG LUGGAGE TAG,Neutral,0.8509
20660,VIP LUGGAGE TAG ,Neutral,0.8215
20777,CHRYSANTHEMUM NOTEBOOK,Neutral,0.7898
20774,GREEN FERN NOTEBOOK,Neutral,0.8172
22037,ROBOT BIRTHDAY CARD,Neutral,0.8229
22036,DINOSAUR BIRTHDAY CARD,Neutral,0.8585
21726,MULTI HEARTS  STICKERS,Neutral,0.8134
21544,SKULLS  WATER TRANSFER TATTOOS ,Neutral,0.8193
21004,ROSE DU SUD CHILDS APRON,Neutral,0.8059
84402D,PINK DRESS JEWELLERY STAND ,Neutral,0.8392
84660B,BLACK STITCHED WALL CLOCK,Neutral,0.8536
21429,RED GINGHAM ROSE JEWELLERY BOX,Neutral,0.8243
72754B,F FAIRY POTPOURRI CUSHIONS LAVENDER,Neutral,0.8002
21500,PINK SPOTS  WRAP ,Neutral,0.6962
21431,GREEN GINGHAM FLOWER JEWELLERY BOX,Neutral,0.8075
20748,KENSINGTON COFFEE SET,Neutral,0.8451
72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,Neutral,0.8229
72803A,ROSE SCENT CANDLE JEWELLED DRAWER,Neutral,0.8551
79029,GLASS HONEYPOT WASP CATCHER,Neutral,0.7702
21591,COSY HOUR CIGAR BOX MATCHES ,Neutral,0.8263
72801E,S/4 FESTIVE GREEN DINNER CANDLES,Neutral,0.8724
21034,REX CASH+CARRY JUMBO SHOPPER,Neutral,0.888
85049D,BRIGHT BLUES RIBBONS ,Neutral,0.7322
21985,PACK OF 12 HEARTS DESIGN TISSUES ,Neutral,0.865
21980,PACK OF 12 RED SPOTTY TISSUES ,Neutral,0.7969
16235,RECYCLED PENCIL WITH RABBIT ERASER,Neutral,0.7761
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,Neutral,0.8906
84990,60 GOLD AND SILVER FAIRY CAKE CASES,Neutral,0.8122
85231E,STRAWBERRY SCENTED SET/9 T-LIGHTS,Neutral,0.8887
85231B,CINAMMON SET OF 9 T-LIGHTS,Neutral,0.8852
72008,FROSTED BOX 9 WHITE T-LIGHT CANDLES,Neutral,0.8842
22071,SMALL RETRO SPOT MUG IN BOX  WHITE,Neutral,0.8538
22070,SMALL RETRO SPOT MUG IN BOX  RED,Neutral,0.846
84270,ASSTD DESIGN BUBBLE GUM RING,Negative,0.5536
85049C,ROMANTIC PINKS RIBBONS ,Neutral,0.7232
84352,SILVER CHRISTMAS TREE BAUBLE STAND ,Neutral,0.8144
79067,CORONA MEXICAN TRAY,Neutral,0.8247
22203,MILK PAN RED RETROSPOT,Neutral,0.8139
21353,SILVER SLEIGHBELL  WREATH,Neutral,0.7997
21538,DAIRY MAID  PUDDING BOWL,Neutral,0.7275
21534,DAIRY MAID LARGE MILK JUG,Neutral,0.7653
85053,FRENCH ENAMEL CANDLEHOLDER,Neutral,0.8388
22118,JOY WOODEN BLOCK LETTERS,Neutral,0.762
35832,WOOLLY HAT SOCK GLOVE ADVENT STRING,Neutral,0.7859
D,Discount,Neutral,0.737
21375,LARGE CAMPHOR WOOD FIELD MUSHROOM ,Neutral,0.8248
22186,RED STAR CARD HOLDER,Neutral,0.7928
47504K,ENGLISH ROSE GARDEN SECATEURS,Neutral,0.8633
47504F,ENGLISH ROSE TORCH,Neutral,0.8247
21809,CHRISTMAS HANGING TREE WITH BELL,Neutral,0.7669
21186,WHITE DOVE HONEYCOMB PAPER GARLAND,Neutral,0.8243
21611,SET OF 12 LILY BOTANICAL T-LIGHTS,Neutral,0.8794
21480,PINK STRIPE HOT WATER BOTTLE,Neutral,0.73
85170A,SET/6 IVORY BIRD T-LIGHT CANDLES,Neutral,0.8543
85033S,SET/6 SILVER REINDEER T-LIGHTS,Neutral,0.8736
35991,SET/6 BLACK SNOWFLAKE T-LIGHTS ,Neutral,0.8836
22185,SLATE TILE NATURAL HANGING,Neutral,0.8301
21786,RAIN HAT WITH RED SPOTS,Neutral,0.7365
84388,WISE MAN STAR SHAPE EGG PAN,Neutral,0.7927
21918,SET 12 KIDS COLOUR  CHALK STICKS,Neutral,0.8364
51012C,"FEATHER DUSTER, COAL BLACK",Neutral,0.8133
84671B,CROCHET BEAR WITH BLUE STRIPES,Neutral,0.7465
21747,SMALL SKULL WINDMILL,Neutral,0.717
22330,72 ROUND PINK DOILIES,Neutral,0.8344
84375,SET OF 20 KIDS COOKIE CUTTERS,Neutral,0.7443
84952B,BLACK LOVE BIRD T-LIGHT HOLDER,Positive,0.7353
20961,STRAWBERRY BATH SPONGE ,Neutral,0.7755
20960,WATERMELON BATH SPONGE,Neutral,0.8363
20966,SANDWICH BATH SPONGE,Neutral,0.7523
17164D,ASS COL SMALL SAND FROG P'WEIGHT,Neutral,0.7814
21890,S/6 WOODEN SKITTLES IN COTTON BAG,Neutral,0.8911
85170D,SET/6 PINK BIRD T-LIGHT CANDLES,Neutral,0.8755
17091J,VANILLA INCENSE IN TIN,Neutral,0.7633
20975,12 PENCILS SMALL TUBE RED SPOTTY,Neutral,0.8291
21440,12 MINI TOADSTOOL PEGS,Neutral,0.8261
22174,PHOTO CUBE,Neutral,0.73
22150, 3 STRIPEY MICE FELTCRAFT,Neutral,0.7894
22147,FELTCRAFT BUTTERFLY HEARTS,Neutral,0.8165
21356,TOAST ITS - FAIRY FLOWER,Neutral,0.7999
21357,TOAST ITS - DINOSAUR,Neutral,0.8403
21677,HEARTS  STICKERS,Neutral,0.7294
21680,WOODLAND  STICKERS,Neutral,0.7283
21730,GLASS STAR FROSTED T-LIGHT HOLDER,Neutral,0.8018
70007,HI TEC ALPINE HAND WARMER,Neutral,0.8447
70006,LOVE HEART POCKET WARMER,Positive,0.929
21650,ASSORTED TUTTI FRUTTI BRACELET,Neutral,0.7409
21892,TRADITIONAL WOODEN CATCH CUP GAME ,Neutral,0.8133
85227,SET/6 3D KIT CARDS FOR KIDS,Neutral,0.8791
20655,QUEEN OF SKIES LUGGAGE TAG,Neutral,0.8845
21990,MODERN FLORAL STATIONERY SET,Neutral,0.8309
21934,SKULL SHOULDER BAG,Neutral,0.6635
21578,WOODLAND DESIGN  COTTON TOTE BAG,Neutral,0.8215
21579,LOLITA  DESIGN  COTTON TOTE BAG,Neutral,0.6927
21577,SAVE THE PLANET COTTON TOTE BAG,Neutral,0.7013
20713,JUMBO BAG OWLS,Neutral,0.7483
20712,JUMBO BAG WOODLAND ANIMALS,Neutral,0.8514
16047,POP ART PEN CASE & PENS,Neutral,0.8733
21561,DINOSAUR LUNCHBOX WITH CUTLERY,Neutral,0.8617
20814,SILVER FINCH DECORATION,Neutral,0.7767
22068, BLACK PIRATE TREASURE CHEST,Neutral,0.8124
21377,SMALL CAMPHOR WOOD FIELD  MUSHROOM,Neutral,0.8413
21379, CAMPHOR WOOD PORTOBELLO MUSHROOM,Neutral,0.8396
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,Neutral,0.7295
21018,BIRD BOX CHRISTMAS TREE DECORATION,Neutral,0.851
35995,SET/6 BLACK GLITTER REINDEER CANDLE,Neutral,0.906
22355,"CHARLOTTE BAG , SUKI DESIGN",Neutral,0.8015
21581,SKULLS  DESIGN  COTTON TOTE BAG,Neutral,0.7759
20727,LUNCH BAG  BLACK SKULL.,Neutral,0.8079
21071,VINTAGE BILLBOARD DRINK ME MUG,Neutral,0.7491
21068,VINTAGE BILLBOARD LOVE/HATE MUG,Neutral,0.4992
22189,CREAM HEART CARD HOLDER,Neutral,0.7152
48179,DOOR MAT SWEET HOME,Neutral,0.7555
48188,DOOR MAT WELCOME PUPPIES,Positive,0.6419
48184,DOOR MAT ENGLISH ROSE ,Neutral,0.8433
21777,RECIPE BOX WITH METAL HEART,Neutral,0.7999
20969,RED FLORAL FELTCRAFT SHOULDER BAG,Neutral,0.7939
20968,GREEN FLORAL FELTCRAFT SHOULDER BAG,Neutral,0.7867
21737,SET 3 WICKER LOG BASKETS,Neutral,0.8492
84899F,YELLOW PURPLE DAISY FELT PURSE KIT,Neutral,0.812
84898F,YELLOW FLOWERS FELT HANDBAG KIT,Neutral,0.7417
22207,FRYING PAN UNION FLAG,Neutral,0.7093
21016,LIGHT BIRD HOUSE TREE DECORATION,Neutral,0.8042
20829,GLITTER HANGING BUTTERFLY STRING,Neutral,0.8342
85231G,ORANGE SCENTED SET/9 T-LIGHTS,Neutral,0.864
21407,BROWN CHECK CAT DOORSTOP ,Neutral,0.756
72800F,4 IVORY DINNER CANDLES GOLD FLOCK,Neutral,0.8127
21993,FLORAL FOLK STATIONERY SET,Neutral,0.816
21486,PINK HEART DOTS HOT WATER BOTTLE,Neutral,0.6838
21813,GARLAND WITH STARS AND BELLS,Neutral,0.706
21812,GARLAND WITH HEARTS AND BELLS,Neutral,0.799
21488,RED WHITE SCARF  HOT WATER BOTTLE,Neutral,0.7955
75013B,"STRING OF 8 BUTTERFLIES,PINK",Neutral,0.7981
72800E,4 IVORY DINNER CANDLES SILVER FLOCK,Neutral,0.8227
72801G,S/4 BURGUNDY WINE DINNER CANDLES,Neutral,0.8776
72801F,S/4 FESTIVE RED DINNER CANDLES,Neutral,0.8667
22183,CAKE STAND VICTORIAN FILIGREE MED,Neutral,0.8072
21732,RED HANGING METAL STAR TLIGHT HLDR,Neutral,0.8952
21254,SET OF KITCHEN WALL  STICKERS,Neutral,0.7807
85041,SET/4 PINK ORCHID CANDLES IN BOWL,Neutral,0.8735
85040B,SET/4 BLUE FLOWER CANDLES IN BOWL,Neutral,0.8596
37461,FUNKY MONKEY MUG,Neutral,0.5251
21700,BIG DOUGHNUT FRIDGE MAGNETS,Neutral,0.7136
20692,FLORAL ELEPHANT SOFT TOY,Neutral,0.6359
16237,SLEEPING CAT ERASERS,Neutral,0.7369
37410,BLACK AND WHITE PAISLEY FLOWER MUG,Neutral,0.8649
84251F,"GREETING CARD, RITA",Neutral,0.7811
21080,SET/20 RED SPOTTY PAPER NAPKINS ,Neutral,0.8562
21967,PACK OF 12 SKULL TISSUES,Neutral,0.8346
22110,BIRD HOUSE HOT WATER BOTTLE,Neutral,0.7809
84977,WIRE FLOWER T-LIGHT HOLDER,Neutral,0.8245
18010,ASSORTED FRAGRANCE BATH CONFETTI,Neutral,0.8064
22152,PLACE SETTING WHITE STAR,Neutral,0.8673
72267,PREMIUM CHURCH CANDLE,Neutral,0.7981
22081,RIBBON REEL FLORA + FAUNA ,Neutral,0.7787
22079,RIBBON REEL HEARTS DESIGN ,Neutral,0.8233
20758,ABSTRACT CIRCLES POCKET BOOK,Neutral,0.8213
20756,GREEN FERN POCKET BOOK,Neutral,0.7232
21126,SET OF 6 GIRLS CELEBRATION CANDLES,Neutral,0.8695
21125,SET 6 FOOTBALL CELEBRATION CANDLES,Neutral,0.8975
22102,MIRROR MOSAIC T-LIGHT HOLDER ,Neutral,0.8235
35955,SMALL FOLKART CHRISTMAS TREE DEC,Neutral,0.8373
35954,SMALL FOLKART STAR CHRISTMAS DEC,Neutral,0.8348
35957,SMALLFOLKART BAUBLE CHRISTMAS DEC,Neutral,0.8128
84050,PINK HEART SHAPE EGG FRYING PAN,Neutral,0.4948
47568,ENGLISH ROSE DESIGN PEG BAG,Neutral,0.8735
84782A,PINK 3 TIER GLASS PLATE STAND,Neutral,0.8563
84782C,GREEN 3 TIER GLASS PLATE STAND,Neutral,0.8463
22169,FAMILY ALBUM WHITE PICTURE FRAME,Neutral,0.8538
84933A,LARGE GREEN PEONY FOLDING STOOL,Neutral,0.8171
84933B,LARGE PINK PEONY FOLDING STOOL,Neutral,0.8172
22201,FRYING PAN BLUE POLKADOT ,Neutral,0.7213
37503,TEA TIME CAKE STAND IN GIFT BOX,Neutral,0.8685
21593,SWALLOW CIGAR BOX MATCHES ,Neutral,0.8193
22085,PAPER CHAIN KIT SKULLS ,Neutral,0.6247
85099C,JUMBO  BAG BAROQUE BLACK WHITE,Neutral,0.8583
22348,TEA BAG PLATE RED SPOTTY ,Neutral,0.7736
85061W,WHITE JEWELLED HEART DECORATION,Neutral,0.8032
21781,MA CAMPAGNE CUTLERY BOX,Neutral,0.823
20768,GREEN FERN JOURNAL ,Neutral,0.7742
21082,SET/20 FRUIT SALAD PAPER NAPKINS ,Neutral,0.8794
47591B,SCOTTIES DES CHILD'S APRON,Neutral,0.7689
22196,SMALL HEART MEASURING SPOONS,Neutral,0.7872
84968C,S/16 VINTAGE PISTACHIO CUTLERY,Neutral,0.8455
84968F,S/16 VINTAGE SKY BLUE CUTLERY,Neutral,0.8596
84968B,S/16 VINTAGE IVORY CUTLERY,Neutral,0.8534
85231L,LAVENDER SCENTED SET/9 T-LIGHTS,Neutral,0.8961
21618,4 WILDFLOWER BOTANICAL CANDLES,Neutral,0.8341
21615,4 LAVENDER BOTANICAL DINNER CANDLES,Neutral,0.8657
21619,4 VANILLA BOTANICAL CANDLES,Neutral,0.8298
21612,SET 12 WILDFLOWER BOTANICAL T-LIGHT,Neutral,0.8929
85049B,LUSH GREENS RIBBONS,Neutral,0.79
85049G,CHOCOLATE BOX RIBBONS ,Neutral,0.7579
21770,OPEN CLOSED METAL SIGN,Neutral,0.8188
37500,TEA TIME TEAPOT IN GIFT BOX,Neutral,0.8482
21637,ASSORTED SANSKRIT MINI NOTEBOOK,Neutral,0.7292
21901,"KEY FOB , BACK DOOR ",Neutral,0.6914
21900,"KEY FOB , SHED",Neutral,0.5593
21902,"KEY FOB , FRONT  DOOR ",Neutral,0.7216
21223,SET/4 BADGES WOODLAND ANIMAL,Neutral,0.8058
85049H,URBAN BLACK RIBBONS ,Neutral,0.7844
21576,LETS GO SHOPPING COTTON TOTE BAG,Neutral,0.7423
21580,RABBIT  DESIGN  COTTON TOTE BAG,Neutral,0.7849
35004S,SET OF 3 SILVER FLYING DUCKS,Neutral,0.8299
35001W,HAND OPEN SHAPE DECO.WHITE,Neutral,0.7814
35001B,HAND OPEN SHAPE BLACK,Neutral,0.725
21260,FIRST AID TIN,Neutral,0.779
20866,BLUE ROSE FABRIC MIRROR,Neutral,0.7766
20867,PINK ROSE FABRIC MIRROR,Neutral,0.7917
20979,36 PENCILS TUBE RED SPOTTY,Neutral,0.8252
20983,12 PENCILS TALL TUBE RED SPOTTY,Neutral,0.8136
20981,12 PENCILS TALL TUBE WOODLAND,Neutral,0.8331
20977,36 PENCILS TUBE WOODLAND,Neutral,0.8587
20974,12 PENCILS SMALL TUBE SKULL,Neutral,0.8166
21114,LAVENDER SCENTED FABRIC HEART,Neutral,0.7076
85232A,SET/3 POLKA DOT STACKING TINS,Neutral,0.8141
35971,ROSE FOLKART HEART DECORATIONS,Neutral,0.8367
21740,COSY SLIPPER SHOES LARGE RED,Neutral,0.7317
21624,VINTAGE UNION JACK DOORSTOP,Neutral,0.8338
21738,COSY SLIPPER SHOES SMALL  RED ,Neutral,0.7487
22280,POCKET BAG PINK PAISELY BROWN SPOT,Neutral,0.834
21841,BABY MOUSE RED GINGHAM DRESS,Neutral,0.7445
21621,VINTAGE UNION JACK BUNTING,Neutral,0.7994
21622,VINTAGE UNION JACK CUSHION COVER,Neutral,0.8727
20750, RED/WHITE DOT MINI CASES,Neutral,0.795
82482,WOODEN PICTURE FRAME WHITE FINISH,Neutral,0.8637
20665,RED SPOTTY PURSE ,Neutral,0.656
84837,WHITE SWEETHEARTS CABINET 4 DRAWERS,Neutral,0.8947
21439,BASKET OF TOADSTOOLS,Neutral,0.8031
16169D,WRAP WINTER FOREST,Neutral,0.8527
16169C,WRAP BLUE REINDEER,Neutral,0.7848
21017,RED BIRD HOUSE TREE DECORATION,Neutral,0.8223
21210,SET OF 72 RETRO SPOT PAPER  DOILIES,Neutral,0.8479
21039,RED SPOTTY SHOPPING BAG,Neutral,0.7172
21432,SET OF 3 CASES WOODLAND DESIGN,Neutral,0.9121
21424,WOODLAND STORAGE BOX LARGE ,Neutral,0.7597
21426,WOODLAND STORAGE BOX SMALL,Neutral,0.849
21891,TRADITIONAL WOODEN SKIPPING ROPE,Neutral,0.8429
21098,CHRISTMAS TOILET ROLL,Neutral,0.7496
22415,WHITE TISSUE REAM,Neutral,0.7321
17165D,ASS COL LARGE SAND FROG P'WEIGHT,Neutral,0.7625
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,Neutral,0.7632
85208,SET/12 FUNKY FELT FLOWER PEG IN BAG,Neutral,0.8776
90090,PINK CRYSTAL HEART PHONE CHARM,Neutral,0.8106
90092,BLUE CRYSTAL BOOT PHONE CHARM,Neutral,0.796
16161C,WRAP SPEED DEMONS ,Negative,0.6037
35160,BUDDHA INCENSE HOLDER ASSORTED,Neutral,0.8007
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,Neutral,0.763
21805,WHITE CHRISTMAS TREE DECORATION ,Neutral,0.8437
90125A,PINK BERTIE GLASS BEAD BAG CHARM,Neutral,0.7824
84578,ELEPHANT TOY WITH BLUE T-SHIRT,Neutral,0.7808
84901,BLACK FACE LAMB WITH PANTS,Neutral,0.8426
35931,PINK STAR CHRISTMAS DECORATION,Neutral,0.7247
35933,PINK STOCKING CHRISTMAS DECORATION,Neutral,0.7406
90087,CRYSTAL SEA HORSE PHONE CHARM,Neutral,0.784
90085,CRYSTAL STILETTO PHONE CHARM,Neutral,0.8284
90093,CLEAR CRYSTAL STAR PHONE CHARM,Neutral,0.8375
90084,PINK CRYSTAL GUITAR PHONE CHARM,Neutral,0.8594
90088,CRYSTAL KEY+LOCK PHONE CHARM,Neutral,0.8064
21807,WHITE CHRISTMAS STAR DECORATION,Neutral,0.8354
21806,WHITE CHRISTMAS HEART DECORATION,Neutral,0.7937
21815, STAR  T-LIGHT HOLDER ,Neutral,0.7739
21816,CHRISTMAS TREE T-LIGHT HOLDER,Neutral,0.7767
35051B,PINK BEADED CONE CHRISTMAS,Neutral,0.7222
22153,ANGEL DECORATION STARS ON DRESS,Neutral,0.8687
20943,SET/6 GINGERBREAD STAR T-LIGHTS,Neutral,0.8822
72816,SET/3 CHRISTMAS DECOUPAGE CANDLES,Neutral,0.8613
85038,6 CHOCOLATE LOVE HEART T-LIGHTS,Positive,0.7133
20978,36 PENCILS TUBE SKULLS,Neutral,0.7724
20942,SET/6 GINGERBREAD TREE T-LIGHTS,Neutral,0.864
84559A,3D SHEET OF DOG STICKERS,Neutral,0.8033
84466,TOP SECRET PEN SET,Neutral,0.8406
20994,JAZZ HEARTS SPIRAL NOTEPAD,Neutral,0.8415
20992,JAZZ HEARTS PURSE NOTEBOOK,Neutral,0.8654
84670,JAPANESE CROCHETED ANIMAL,Neutral,0.7136
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,Neutral,0.8127
84029C,BROWN FURRY HOT WATER BOTTLE,Neutral,0.7617
22336,DOVE DECORATION PAINTED ZINC ,Neutral,0.8162
22156,HEART DECORATION WITH PEARLS ,Neutral,0.6905
22338,STAR DECORATION PAINTED ZINC ,Neutral,0.8394
21825,PAINTED METAL TREE WITH HOLLY BELLS,Neutral,0.8718
21822,GLITTER CHRISTMAS TREE WITH BELLS,Neutral,0.7704
22277,COSMETIC BAG VINTAGE ROSE PAISLEY,Neutral,0.8726
35979,SIX STRING SCANDINAVIAN HEART DECS,Neutral,0.819
47566,PARTY BUNTING,Neutral,0.5383
21344,MOROCCAN BEATEN METAL DISH,Neutral,0.7772
21477,STRING OF 20 ROSE LIGHTS,Neutral,0.821
85047,WHITE BEADED GARLAND STRING 20LIGHT,Neutral,0.8446
20681,PINK SPOTTY CHILDS UMBRELLA,Neutral,0.71
84648,NEW BAROQUE WALL MIRROR,Neutral,0.8585
84472,PINK AND LILAC QUILTED THROW ,Neutral,0.7476
84910A,PINK PAISLEY CUSHION COVER ,Neutral,0.8067
84656,WHITE ROSE C/COVER,Neutral,0.7461
84580,MOUSE TOY WITH PINK T-SHIRT,Neutral,0.804
84622,PINK GINGHAM ROSE CUSHION COVER,Neutral,0.8195
22151,PLACE SETTING WHITE HEART,Neutral,0.7629
35962,12 ASS ZINC CHRISTMAS DECORATIONS,Neutral,0.8522
22337,ANGEL DECORATION PAINTED ZINC ,Neutral,0.7569
90125C,TURQUOISE BERTIE GLASS BEAD CHARM,Neutral,0.8065
90125D,PURPLE BERTIE GLASS BEAD BAG CHARM,Neutral,0.7667
90214H,"LETTER ""H"" BLING KEY RING",Neutral,0.8229
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,Neutral,0.8401
22172,METAL SHELF WITH RAIL ,Neutral,0.8023
85067,CREAM SWEETHEART WALL CABINET,Neutral,0.5735
21156,RED SPOTTY CHILDS APRON,Neutral,0.7263
72127,COLUMBIAN CANDLE ROUND ,Neutral,0.7915
84992,72 SWEETHEART FAIRY CAKE CASES,Neutral,0.6045
84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,Neutral,0.8415
21649,ASSORTED TUTTI FRUTTI PHOTO FRAME,Neutral,0.6089
21463,MIRRORED DISCO BALL ,Neutral,0.7385
85162A,SILVER RETRODISC LAMPSHADE,Neutral,0.7903
21761,WOOD AND GLASS MEDICINE CABINET,Neutral,0.8661
84839,SWEETHEART KEY CABINET,Neutral,0.7762
85064,CREAM SWEETHEART LETTER RACK,Neutral,0.6373
84706C,PINK FLOCK TABLE CLOCK ,Neutral,0.8179
21804,WHITE CHRISTMAS GARLAND STARS TREES,Neutral,0.7904
21218,RED SPOTTY BISCUIT TIN,Neutral,0.7529
85103, SILVER T-LIGHT SETTING,Neutral,0.789
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,Neutral,0.8553
85036C,ROSE 1 WICK MORRIS BOXED CANDLE,Neutral,0.8703
22162,HEART GARLAND RUSTIC PADDED,Neutral,0.6633
22297,HEART IVORY TRELLIS SMALL,Neutral,0.6984
85104,SILVER GLASS T-LIGHT SET,Neutral,0.8184
84813,SET OF 4 DIAMOND NAPKIN RINGS,Neutral,0.8585
72799D,BLUE PILLAR CANDLE SILVER FLOCK,Neutral,0.751
21741,COSY SLIPPER SHOES LARGE GREEN,Neutral,0.7515
85071D,CHARLIE+LOLA MY ROOM DOOR SIGN,Neutral,0.8387
21724,PANDA AND BUNNIES STICKER SHEET,Neutral,0.8436
21524,SPOTTY  HOME SWEET HOME DOORMAT,Neutral,0.6125
48197,DOOR MAT BIRD ON THE WIRE,Neutral,0.8107
84684,BEACH HUT PHOTO FRAME,Neutral,0.5826
20812,EMBOSSED FLOWER TRELLIS PHOTO FRAME,Neutral,0.7904
22035,VINTAGE CARAVAN GREETING CARD ,Neutral,0.8336
21508,VINTAGE KID DOLLY CARD ,Neutral,0.819
22027,TEA PARTY BIRTHDAY CARD,Neutral,0.8214
85059,FRENCH ENAMEL WATER BASIN,Neutral,0.8223
21465,PINK FLOWER CROCHET FOOD COVER,Neutral,0.7785
21466,RED FLOWER CROCHET FOOD COVER,Neutral,0.7905
21467,CHERRY CROCHET FOOD COVER,Neutral,0.787
21471,STRAWBERRY RAFFIA FOOD COVER,Neutral,0.817
21314,SMALL GLASS HEART TRINKET POT,Neutral,0.7787
84975,HEART SHAPED MIRROR,Neutral,0.6959
21949,SET OF 6 STRAWBERRY CHOPSTICKS,Neutral,0.8693
21947,SET OF 6 HEART CHOPSTICKS,Neutral,0.8397
21528,DAIRY MAID TRADITIONAL TEAPOT ,Neutral,0.7611
21548,CERAMIC BIRDHOUSE FINCH BLUE ROOF,Neutral,0.8077
21684,SMALL MEDINA STAMPED METAL BOWL ,Neutral,0.8403
21549,CERAMIC BIRDHOUSE RED ROOF SMALL,Neutral,0.8221
21545,CERAMIC BIRDHOUSE BUTTERFLY SMALL,Neutral,0.806
21547,CERAMIC BIRDHOUSE CRESTED TIT SMALL,Neutral,0.8301
85054,FRENCH ENAMEL POT W LID,Neutral,0.785
21532,DAIRY MAID SUGAR JAM BOWL,Neutral,0.7862
21530,DAIRY MAID CERAMIC TOASTRACK,Neutral,0.7831
37444A,YELLOW BREAKFAST CUP AND SAUCER,Neutral,0.8124
37444B,BLUE BREAKFAST CUP AND SAUCER ,Neutral,0.7709
22042,CHRISTMAS CARD SINGING ANGEL,Positive,0.5315
84247C,PACK/12 BLUE REINDEER CARD,Neutral,0.8379
22034,ROBIN CHRISTMAS CARD,Neutral,0.7629
84754,S/15 SILVER GLASS BAUBLES IN BAG,Neutral,0.8773
21313,GLASS HEART T-LIGHT HOLDER ,Neutral,0.6889
84509A,ENGLISH ROSE PLACEMATS,Neutral,0.8546
84510A,SET OF 4 ENGLISH ROSE COASTERS,Neutral,0.8944
84340,LARGE FIBRE OPTIC CHRISTMAS TREE,Neutral,0.8323
21625,VINTAGE UNION JACK APRON,Neutral,0.8498
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,Neutral,0.8802
85147,JARDIN ETCHED GLASS CANDLEHLDR LONG,Neutral,0.7975
37444C,PINK BREAKFAST CUP AND SAUCER ,Neutral,0.7181
85055,FRENCH ENAMEL UTENSIL HOLDER,Neutral,0.8304
85028L,FRENCH CHATEAU LARGE FRUIT BOWL ,Neutral,0.7322
85028S,FRENCH CHATEAU SMALL FRUITBOWL,Neutral,0.8175
21214,SET OF 72 IVORY PAPER DOILIES,Neutral,0.8447
84985B,SET OF 72 BLACK PAPER DOILIES ,Neutral,0.8616
84985A,SET OF 72 GREEN PAPER DOILIES,Neutral,0.8483
47021G,SET/6 BEAD COASTERS GAUZE BAG GOLD,Neutral,0.8787
21911,GARDEN METAL SIGN ,Neutral,0.7654
